Organization Name,Org ID,orgTypes_json,orgTypePrimary,geoPrimary,Notes,Primary,2ndry,geoTags_json,nodeTypes_json,nodeTypePrimary,governanceLevels_json,governanceLevelPrimary,functionalDomains_json,functionalDomainPrimary,roleTags_json,rolePrimary,lifelineTags_json,femaLifelinePrimary,url,review_flag,review_note
Emergency Planning Secretariat,EPS,"[""Coordination Structure""]",Coordination Structure,British Columbia,Supports Coastal Salish communities in improving emergency planning and preparedness at the local and regional levels.,,,"[""British Columbia""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Other""]",Other,https://www.emergencyplanningsecretariat.com/,,
Earthquake Safety Committee,ESC,"[""Nonprofit Community""]",Nonprofit Community,U.S. National,"Supports community resilience through coordination, advocacy, technical guidance, or direct services.

Review flag: yes

Review note: Name is too generic; likely requires normalization to a specific committee.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Other""]",Other,"[""Other""]",Other,,yes,Name is too generic; likely requires normalization to a specific committee.
Eugene-Springfield Community Emergency Response Team,ESCERT,"[""Coordination Structure""]",Coordination Structure,Oregon,"Coordinates local community emergency preparedness and response training.

Review flag: yes

Review note: CERT is treated as a program rather than a hub or organization.",,,"[""Oregon""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Other""]",Other,https://eugene-cert.com/,yes,CERT is treated as a program rather than a hub or organization.
City of Eugene,Eugene,"[""Government""]",Government,Oregon,Coordinates city-level emergency planning and disaster response.,,,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Other""]",Other,https://www.eugene-or.gov/,,
Emergency Volunteer Aviation Corps - Northwest Region,EVACNR,"[""Nonprofit Community""]",Nonprofit Community,PNW Regional,"Supports volunteer aviation coordination for emergency response in the Northwest region.

Review flag: yes

Review note: Role refined from generic service provider; confirm official organization name and scope.",,,"[""PNW Regional""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Transportation""]",Transportation,https://dobihalj.wixsite.com/northwestevac,yes,Role refined from generic service provider; confirm official organization name and scope.
Eugene Water & Electric Board,EWEB,"[""Quasi Governmental""]",Quasi Governmental,Oregon,Operates local electric and water systems essential to community resilience and recovery.,,,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Energy"", ""Water Systems""]",Energy,https://www.eweb.org/,,
Early Warning Labs,EWLabs,"[""Private Sector""]",Private Sector,U.S. National,Provides earthquake early warning technology and related alerting tools.,,,"[""U.S. National""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider"", ""Messaging Alerts Provider""]",Data Tools Provider,"[""Communications""]",Communications,https://earlywarninglabs.com/,,
Facet,Facet,"[""Private Sector""]",Private Sector,PNW Regional,"Provides engineering, environmental, and infrastructure-related consulting services supporting hazard resilience in the Pacific Northwest.

Review flag: yes

Review note: Reclassified from nonprofit placeholder to private-sector consulting firm.",,,"[""PNW Regional""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Other""]",Other,"[""Other""]",Other,https://www.facetnw.com/,yes,Reclassified from nonprofit placeholder to private-sector consulting firm.
Federal Media,FedMedia,"[""Media""]",Media,U.S. National,"Provides public information and communications that can support hazard awareness and emergency messaging.

Review flag: yes

Review note: Category entry rather than a specific organization.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Messaging Alerts Provider""]",Messaging Alerts Provider,"[""Communications""]",Communications,,yes,Category entry rather than a specific organization.
Federal Emergency Management Agency,FEMA,"[""Government""]",Government,U.S. National,"Leads national coordination, funding, and policy for disaster preparedness, response, and recovery.

Review flag: yes

Review note: Normalized from source entry 'Federal Emergency Management Administration HQ'.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Emergency Management""]",Emergency Management,"[""Coordination"", ""Funding Provider""]",Coordination,"[""Other""]",Other,https://www.fema.gov/,yes,Normalized from source entry 'Federal Emergency Management Administration HQ'.
Finance Canada,FinCan,"[""Government""]",Government,Canada,"Provides federal fiscal policy and funding functions that can influence resilience and recovery.

Review flag: yes

Review note: Reclassified to Canadian federal government department.",,,"[""Canada""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Community Resilience""]",Community Resilience,"[""Funding Provider""]",Funding Provider,"[""Other""]",Other,https://www.canada.ca/en/department-finance.html,yes,Reclassified to Canadian federal government department.
Fraser Basin Council,FraserBC,"[""Nonprofit Community""]",Nonprofit Community,British Columbia,Supports collaborative planning and resilience-related initiatives across British Columbia.,,,"[""British Columbia""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Community Resilience""]",Community Resilience,"[""Coordination""]",Coordination,"[""Other""]",Other,https://www.fraserbasin.bc.ca/,,
Global Earthquake Model Foundation,GEM,"[""Nonprofit Community""]",Nonprofit Community,International,"Develops global earthquake risk models, data, and tools to support hazard and resilience analysis.",,,"[""International""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider"", ""Data Tools Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.globalquakemodel.org/,,
"British Columbia Ministry of Water, Land and Resource Stewardship - GeoBC",GeoBC,"[""Government""]",Government,British Columbia,Provides geospatial data and hazard information to support risk assessment and planning.,,,"[""British Columbia""]","[""Organization""]",Organization,"[""State""]",State,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider""]",Data Tools Provider,"[""Other""]",Other,https://www2.gov.bc.ca/gov/content/data/geographic-data-services,,
GeoHazards International,GHI,"[""Nonprofit Community""]",Nonprofit Community,International,"Advances earthquake and hazard risk reduction through research, technical support, and practice.",,,"[""International""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.geohaz.org/,,
Global Land Analysis and Discovery,GLAD,"[""Academic""]",Academic,International,"Provides geospatial land analysis and remote sensing data products that can support hazard assessment.

Review flag: yes

Review note: Hazard relevance is indirect; retain only if broader geospatial data providers are in scope.",,,"[""International""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider""]",Data Tools Provider,"[""Other""]",Other,https://glad.umd.edu/,yes,Hazard relevance is indirect; retain only if broader geospatial data providers are in scope.
Confederated Tribes of Grand Ronde,GrandRonde,"[""Tribal Sovereign""]",Tribal Sovereign,Oregon,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Oregon""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://www.grandronde.org/,,
Natural Resources Canada - Geological Survey of Canada,GSC,"[""Government""]",Government,Canada,Participates in the earthquake hazard and resilience ecosystem through specialized expertise or services.,,,"[""Canada""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider"", ""Knowledge Provider""]",Data Tools Provider,"[""Other""]",Other,https://natural-resources.canada.ca/minerals-mining/geological-survey-canada,,
Geological Society of the Oregon Country,GSOC,"[""Nonprofit Community""]",Nonprofit Community,Oregon,"Supports geoscience education and engagement relevant to hazards and resilience.

Review flag: yes

Review note: Role refined; confirm whether a more specific hazard-facing URL should be used.",,,"[""Oregon""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.gsoc.org/,yes,Role refined; confirm whether a more specific hazard-facing URL should be used.
Hakai Institute,Hakai,"[""Nonprofit Community""]",Nonprofit Community,British Columbia,Produces coastal and environmental research relevant to hazards and resilience in British Columbia.,,,"[""British Columbia""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://hakai.org/,,
"Haley & Aldrich, Inc.",HaleyAldr,"[""Private Sector""]",Private Sector,U.S. National,"Provides private-sector infrastructure, technical services, or products relevant to hazard resilience and recovery.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://www.haleyaldrich.com/,,
Harvard University,Harvard,"[""Academic""]",Academic,U.S. National,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.harvard.edu/,,
Hoh Indian Tribe,Hoh,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Washington""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://hohtribe-nsn.org/,,
Home Forward,HomeForward,"[""Quasi Governmental""]",Quasi Governmental,Oregon,Provides public housing services that support community stability and post-disaster recovery.,,,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Food Hydration Shelter""]",Food Hydration Shelter,https://www.homeforward.org/,,
Hoopa Valley Tribe,Hoopa,"[""Tribal Sovereign""]",Tribal Sovereign,California,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""California""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://www.hoopa-nsn.gov/,,
International Association of Earthquake Engineering,IAEE,"[""Nonprofit Community""]",Nonprofit Community,International,"Supports community resilience through coordination, advocacy, technical guidance, or direct services.",,,"[""International""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Coordination"", ""Knowledge Provider""]",Coordination,"[""Other""]",Other,https://www.iaee.or.jp/,,
Institute for Catastrophic Loss Reduction,ICLR,"[""Nonprofit Community""]",Nonprofit Community,Canada,,,,"[""Canada""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Community Resilience""]",Community Resilience,"[""Coordination"", ""Knowledge Provider"", ""Data Tools Provider""]",Coordination,"[""Other""]",Other,https://www.iclr.org/,,
Idaho State University-Institute of Emergency Management (IEM),IDStateU,"[""Academic""]",Academic,U.S. National,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.

Review flag: yes

Review note: Normalized truncated source name; exact official naming may need confirmation.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Emergency Management""]",Emergency Management,"[""Knowledge Provider"", ""Policy Maker Regulator""]",Knowledge Provider,"[""Other""]",Other,https://www.isu.edu/idiem/,yes,Normalized truncated source name; exact official naming may need confirmation.
"ImageCat, Inc.",ImageCat,"[""Private Sector""]",Private Sector,U.S. National,"Provides private-sector infrastructure, technical services, or products relevant to hazard resilience and recovery.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://imagecatinc.com/,,
Indiana University,IndianaU,"[""Academic""]",Academic,U.S. National,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.iu.edu/,,
Integrated Partnership for Regional Emergency Management,IPREM,"[""Coordination Structure""]",Coordination Structure,PNW Regional,"Coordinates collaboration across organizations working on earthquake and resilience issues.

Review flag: yes

Review note: Program/network treatment should be confirmed.",,,"[""PNW Regional""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Other""]",Other,https://iprem.ca/,yes,Program/network treatment should be confirmed.
Jamestown S’Klallam Tribe,Jamestown,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Washington""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://jamestowntribe.org/,,
Kalispel Tribe of Indians,Kalispel,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,,,,"[""Washington""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://kalispeltribe.com/,,
Karuk Tribe,Karuk,"[""Tribal Sovereign""]",Tribal Sovereign,California,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""California""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://karuk.us/,,
King County Department of Emergency Management,KingCoEM,"[""Government""]",Government,Washington,"Leads public policy and coordination functions related to earthquake preparedness, response, or recovery.",,,"[""Washington""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination"", ""Policy Maker Regulator""]",Coordination,"[""Other""]",Other,https://kingcounty.gov/depts/emergency-management.aspx,,
Klamath Tribes,Klamath,"[""Tribal Sovereign""]",Tribal Sovereign,Oregon,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Oregon""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://klamathtribes.org/,,
Kinder Morgan Pipeline,KMP,"[""Private Sector""]",Private Sector,U.S. National,"Provides private-sector infrastructure, technical services, or products relevant to hazard resilience and recovery.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Other""]",Other,https://www.kindermorgan.com/,,
"Kyoto University, Japan - Disaster Prevention Research Institute",KyotoU,"[""Academic""]",Academic,International,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.",,,"[""International""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Emergency Management""]",Emergency Management,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.dpri.kyoto-u.ac.jp/en/,,
Lewis & Clark College,L&Ccollege,"[""Academic""]",Academic,U.S. National,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.lclark.edu/,,
Lane County Emergency Management,LaneCoEM,"[""Government""]",Government,Oregon,"Coordinates county-level emergency preparedness and response.

Review flag: yes

Review note: Reclassified from nonprofit to government.",,,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Other""]",Other,https://www.lanecountyor.gov/government/county_departments/emergency_management,yes,Reclassified from nonprofit to government.
City of Lincoln City,LincolnCity,"[""Government""]",Government,Oregon,Supports local emergency preparedness and hazard response coordination.,,,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Other""]",Other,https://www.lincolncity.org/,,
Link Oregon,LinkOregon,"[""Nonprofit Community""]",Nonprofit Community,Oregon,"Supports community resilience through coordination, advocacy, technical guidance, or direct services.",,,"[""Oregon""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://linkoregon.org/,,
Linnton Neighborhood Association,LinntonNA,"[""Nonprofit Community""]",Nonprofit Community,Oregon,"Supports community resilience through coordination, advocacy, technical guidance, or direct services.",,,"[""Oregon""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Community Resilience""]",Community Resilience,"[""Coordination""]",Coordination,"[""Other""]",Other,https://linntonna.org/,,
Lower Elwha Klallam Tribe,LowerElwha,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Washington""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://www.elwha.org/,,
Dr. Lucy Jones Center for Science and Society,LucyJones,"[""Nonprofit Community""]",Nonprofit Community,California,,,,"[""California""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Community Resilience""]",Community Resilience,"[""Knowledge Provider"", ""Coordination""]",Knowledge Provider,"[""Other""]",Other,https://drlucyjonescenter.org/,,
Lummi Nation,Lummi,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Washington""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://www.lummi-nsn.gov/,,
Makah Tribe,Makah,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Washington""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://makah.com/,,
Metro Vancouver,MetroVan,"[""Quasi Governmental""]",Quasi Governmental,British Columbia,"Provides regional utility and planning services that support resilience in the Vancouver metropolitan area.

Review flag: yes

Review note: Regional district with mixed governance and service roles; classification may be revisited.",,,"[""British Columbia""]","[""Organization""]",Organization,"[""State""]",State,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator"", ""Coordination""]",Infrastructure Operator,"[""Water Systems""]",Water Systems,https://metrovancouver.org/,yes,Regional district with mixed governance and service roles; classification may be revisited.
Mt. Hood Community College,MHCC,"[""Academic""]",Academic,U.S. National,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.mhcc.edu/,,
Moonshot Missions,Moonshot,"[""Private Sector""]",Private Sector,U.S. National,"Provides private-sector infrastructure, technical services, or products relevant to hazard resilience and recovery.

Review flag: yes

Review note: Organization type and role need confirmation.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://www.moonshotmissions.org/,yes,Organization type and role need confirmation.
Muckleshoot Indian Tribe,Muckleshoot,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Washington""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://muckleshoot.nsn.us/,,
Multnomah County Office of Emergency Management,MultnomahEM,"[""Government""]",Government,Oregon,Participates in the earthquake hazard and resilience ecosystem through specialized expertise or services.,,,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Other""]",Other,https://www.multco.us/em,,
"National Association of Geosciences Teachers, PNW Section",NAGT,"[""Nonprofit Community""]",Nonprofit Community,U.S. National,"Supports community resilience through coordination, advocacy, technical guidance, or direct services.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Coordination"", ""Knowledge Provider""]",Coordination,"[""Other""]",Other,https://nagt.org/nagt/sections/northwest/index.html,,
National Academy of Sciences,NAS,"[""Nonprofit Community""]",Nonprofit Community,U.S. National,"Supports community resilience through coordination, advocacy, technical guidance, or direct services.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.nationalacademies.org/,,
NASA - Applied Sciences Program/Disasters Program,NASA_App,"[""Coordination Structure""]",Coordination Structure,U.S. National,Convenes stakeholders around a focused program area related to earthquake and resilience work.,,,"[""U.S. National""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Coordination"", ""Knowledge Provider""]",Coordination,"[""Other""]",Other,https://appliedsciences.nasa.gov/,,
NASA - Alaska Satellite Facility,NASA_ASF,"[""Government""]",Government,U.S. National,Provides satellite data and analysis supporting hazard monitoring and response.,,,"[""U.S. National""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider""]",Data Tools Provider,"[""Other""]",Other,https://asf.alaska.edu/,,
NASA - Jet Propulsion Laboratory,NASA_JPL,"[""Government""]",Government,U.S. National,"Provides advanced research, modeling, and data tools for Earth systems and hazards.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider"", ""Knowledge Provider""]",Data Tools Provider,"[""Other""]",Other,https://www.jpl.nasa.gov/,,
National Congress of American Indians,NCAI,"[""Tribal Sovereign""]",Tribal Sovereign,U.S. National,,,,"[""U.S. National""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Non Governmental""]",Non Governmental,"[""Community Resilience""]",Community Resilience,"[""Knowledge Provider"", ""Policy Maker Regulator""]",Knowledge Provider,"[""Other""]",Other,https://www.ncai.org/,,
National Earthquake Hazards Reduction Program,NEHRP,"[""Coordination Structure""]",Coordination Structure,U.S. National,Convenes stakeholders around a focused program area related to earthquake and resilience work.,,,"[""U.S. National""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Coordination""]",Coordination,"[""Other""]",Other,https://www.nehrp.gov/,,
National Emergency Management Association,NEMA,"[""Nonprofit Community""]",Nonprofit Community,U.S. National,"Supports community resilience through coordination, advocacy, technical guidance, or direct services.

Review flag: yes

Review note: Membership association classified as nonprofit_community; confirm desired treatment vs coordination structure.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Other""]",Other,https://www.nemaweb.org/,yes,Membership association classified as nonprofit_community; confirm desired treatment vs coordination structure.
Nez Perce Tribe,NezPerce,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Washington""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://nezperce.org/,,
Natural Hazards Center,NHC,"[""Coordination Structure""]",Coordination Structure,U.S. National,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.",,,"[""U.S. National""]","[""Hub""]",Hub,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://hazards.colorado.edu/,,
Natural Hazards Engineering Research Infrastructure and Planning,NHERI,"[""Coordination Structure""]",Coordination Structure,U.S. National,Convenes stakeholders around a focused program area related to earthquake and resilience work.,,,"[""U.S. National""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Coordination"", ""Knowledge Provider""]",Coordination,"[""Other""]",Other,https://www.designsafe-ci.org/,,
National Interagency Fire Center,NIFC,"[""Government""]",Government,U.S. National,Coordinates interagency wildfire and incident response resources that support disaster operations.,,,"[""U.S. National""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Safety Security""]",Safety Security,https://www.nifc.gov/,,
Nisqually Indian Tribe,Nisqually,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Washington""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://www.nisqually-nsn.gov/,,
National Institute of Standards and Technology,NIST,"[""Government""]",Government,U.S. National,"Develops standards, measurement science, and building guidance that underpin hazard resilience and infrastructure performance.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Earthquake Science""]",Earthquake Science,"[""Policy Maker Regulator"", ""Knowledge Provider""]",Policy Maker Regulator,"[""Other""]",Other,https://www.nist.gov/,,
NOAA - National Geodetic Survey,NOAA_NGS,"[""Government""]",Government,U.S. National,"Provides geodetic data and tools supporting hazard monitoring and geospatial accuracy.

Review flag: yes

Review note: Reclassified from nonprofit to federal agency.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider"", ""Knowledge Provider""]",Data Tools Provider,"[""Other""]",Other,https://www.ngs.noaa.gov/,yes,Reclassified from nonprofit to federal agency.
NOAA - National Weather Service/National Tsunami Warning System,NOAA_NWS,"[""Government""]",Government,U.S. National,Manages the U.S. national tsunami warning system.,,,"[""U.S. National""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider"", ""Messaging Alerts Provider""]",Data Tools Provider,"[""Other""]",Other,https://www.weather.gov/,,
NOAA - Pacific Marine Environmental Laboratory,NOAA_PMEL,"[""Government""]",Government,U.S. National,"Conducts ocean and hazard research including tsunami detection and monitoring.

Review flag: yes

Review note: Reclassified from nonprofit to federal agency.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider"", ""Knowledge Provider""]",Data Tools Provider,"[""Other""]",Other,https://www.pmel.noaa.gov/,yes,Reclassified from nonprofit to federal agency.
Nooksack Indian Tribe,Nooksack,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""Washington""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Other""]",Other,"[""Other""]",Other,https://nooksacktribe.org/,,
