Organization Name,Org ID,orgTypes_json,orgTypePrimary,geoPrimary,Notes,Primary,2ndry,geoTags_json,nodeTypes_json,nodeTypePrimary,governanceLevels_json,governanceLevelPrimary,functionalDomains_json,functionalDomainPrimary,roleTags_json,rolePrimary,lifelineTags_json,femaLifelinePrimary,url,review_flag,review_note
Washington Educational Service Districts,WAESD,"[""Quasi Governmental""]",Quasi Governmental,Washington,"Coordinate, provide technical assistance, and deliver training for school safety planning against natural hazards.",,,"[""Washington""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,,,
Elk Valley Rancheria,ElkValley,"[""Tribal Sovereign""]",Tribal Sovereign,California,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""California""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,,,
Emergency Management Cowichan,EMCowichan,"[""Government""]",Government,British Columbia,Coordinates local emergency preparedness and response for the Cowichan region in British Columbia.,,,"[""British Columbia""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,,,
Emergency Planning Secretariat,EPS,"[""Coordination Structure""]",Coordination Structure,British Columbia,Supports Coastal Salish communities in improving emergency planning and preparedness at the local and regional levels.,,,"[""British Columbia""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,,,
Emergency Volunteer Aviation Corps - Northwest Region,EVACNR,"[""Nonprofit Community""]",Nonprofit Community,PNW Regional,"Supports volunteer aviation coordination for emergency response in the Northwest region.

Review flag: yes

Review note: Role refined from generic service provider; confirm official organization name and scope.",,,"[""PNW Regional""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Transportation""]",Transportation,,yes,Role refined from generic service provider; confirm official organization name and scope.
Environmental Protection Agency,EPA,"[""Government""]",Government,U.S. Federal,Regulates environmental systems and supports disaster-related environmental response and recovery.,,,"[""U.S. Federal""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Policy Maker Regulator""]",Policy Maker Regulator,"[""Unknown""]",Unknown,,,
Eugene Water & Electric Board,EWEB,"[""Quasi Governmental""]",Quasi Governmental,Oregon,Operates local electric and water systems essential to community resilience and recovery.,,,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Energy"", ""Water Systems""]",Energy,,,
Eugene-Springfield Community Emergency Response Team,ESCERT,"[""Coordination Structure""]",Coordination Structure,Oregon,"Coordinates local community emergency preparedness and response training.

Review flag: yes

Review note: CERT is treated as a program rather than a hub or organization.",,,"[""Oregon""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,,yes,CERT is treated as a program rather than a hub or organization.
Facet,Facet,"[""Private Sector""]",Private Sector,PNW Regional,"Provides engineering, environmental, and infrastructure-related consulting services supporting hazard resilience in the Pacific Northwest.

Review flag: yes

Review note: Reclassified from nonprofit placeholder to private-sector consulting firm.",,https://www.facetnw.com/contact/,"[""PNW Regional""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://www.facetnw.com/,yes,Reclassified from nonprofit placeholder to private-sector consulting firm.
Federal Emergency Management Agency,FEMA,"[""Government""]",Government,U.S. Federal,"Leads national coordination, funding, and policy for disaster preparedness, response, and recovery.

Review flag: yes

Review note: Normalized from source entry 'Federal Emergency Management Administration HQ'.",,,"[""U.S. Federal""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Emergency Management""]",Emergency Management,"[""Coordination"", ""Funding Provider""]",Coordination,"[""Unknown""]",Unknown,,yes,Normalized from source entry 'Federal Emergency Management Administration HQ'.
Federal Media,FedMedia,"[""Media""]",Media,U.S. National,"Provides public information and communications that can support hazard awareness and emergency messaging.

Review flag: yes

Review note: Category entry rather than a specific organization.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Messaging Alerts Provider""]",Messaging Alerts Provider,"[""Communications""]",Communications,,yes,Category entry rather than a specific organization.
Finance Canada,FinCan,"[""Government""]",Government,Canada,"Provides federal fiscal policy and funding functions that can influence resilience and recovery.

Review flag: yes

Review note: Reclassified to Canadian federal government department.",,,"[""Canada""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Community Resilience""]",Community Resilience,"[""Funding Provider""]",Funding Provider,"[""Unknown""]",Unknown,,yes,Reclassified to Canadian federal government department.
Fraser Basin Council,FraserBC,"[""Nonprofit Community""]",Nonprofit Community,British Columbia,Supports collaborative planning and resilience-related initiatives across British Columbia.,,,"[""British Columbia""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Community Resilience""]",Community Resilience,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,,,
GeoHazards International,GHI,"[""Nonprofit Community""]",Nonprofit Community,International,"Advances earthquake and hazard risk reduction through research, technical support, and practice.",,,"[""International""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,,,
Geological Society of the Oregon Country,GSOC,"[""Nonprofit Community""]",Nonprofit Community,Oregon,"Supports geoscience education and engagement relevant to hazards and resilience.

Review flag: yes

Review note: Role refined; confirm whether a more specific hazard-facing URL should be used.",,,"[""Oregon""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,,yes,Role refined; confirm whether a more specific hazard-facing URL should be used.
Global Earthquake Model Foundation,GEM,"[""Nonprofit Community""]",Nonprofit Community,International,"Develops global earthquake risk models, data, and tools to support hazard and resilience analysis.",,,"[""International""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider"", ""Data Tools Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,,,
Global Land Analysis and Discovery,GLAD,"[""Academic""]",Academic,International,"Provides geospatial land analysis and remote sensing data products that can support hazard assessment.

Review flag: yes

Review note: Hazard relevance is indirect; retain only if broader geospatial data providers are in scope.",,,"[""International""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider""]",Data Tools Provider,"[""Unknown""]",Unknown,,yes,Hazard relevance is indirect; retain only if broader geospatial data providers are in scope.
Global Security Systems/ALERT FM,AlertFM,"[""Private Sector""]",Private Sector,International,Provides alerting technology and communications tools used for emergency warning and public information.,,,"[""International""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Emergency Management""]",Emergency Management,"[""Messaging Alerts Provider"", ""Data Tools Provider""]",Messaging Alerts Provider,"[""Communications""]",Communications,,,
Hakai Institute,Hakai,"[""Nonprofit Community""]",Nonprofit Community,British Columbia,Produces coastal and environmental research relevant to hazards and resilience in British Columbia.,,,"[""British Columbia""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,,,
"Haley & Aldrich, Inc.",HaleyAldr,"[""Private Sector""]",Private Sector,U.S. National,"Provides private-sector infrastructure, technical services, or products relevant to hazard resilience and recovery.",,https://www.haleyaldrich.com/contact/,"[""U.S. National""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://www.haleyaldrich.com/,,
Harvard University,Harvard,"[""Academic""]",Academic,U.S. National,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.",,https://www.harvard.edu/contact-harvard/,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,https://www.harvard.edu/,,
Hoh Indian Tribe,Hoh,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,https://hohtribe-nsn.org/contact/,"[""Washington""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://hohtribe-nsn.org/,,
Home Forward,HomeForward,"[""Quasi Governmental""]",Quasi Governmental,Oregon,Provides public housing services that support community stability and post-disaster recovery.,,https://www.homeforward.org/contact/,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Food Hydration Shelter""]",Food Hydration Shelter,https://www.homeforward.org/,,
Hoopa Valley Tribe,Hoopa,"[""Tribal Sovereign""]",Tribal Sovereign,California,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,https://www.hoopa-nsn.gov/contact/,"[""California""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://www.hoopa-nsn.gov/,,
Idaho State University Emergency Services Department / ISU Meridian Institute of Emergency,IDStateU,"[""Academic""]",Academic,U.S. National,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.

Review flag: yes

Review note: Normalized truncated source name; exact official naming may need confirmation.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Emergency Management""]",Emergency Management,"[""Knowledge Provider"", ""Policy Maker Regulator""]",Knowledge Provider,"[""Unknown""]",Unknown,,yes,Normalized truncated source name; exact official naming may need confirmation.
"ImageCat, Inc.",ImageCat,"[""Private Sector""]",Private Sector,U.S. National,"Provides private-sector infrastructure, technical services, or products relevant to hazard resilience and recovery.",,https://imagecatinc.com/contact/,"[""U.S. National""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://imagecatinc.com/,,
Indiana University,IndianaU,"[""Academic""]",Academic,U.S. National,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.",,https://www.iu.edu/about/contact.html,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,https://www.iu.edu/,,
Integrated Partnership for Regional Emergency Management,IPREM,"[""Coordination Structure""]",Coordination Structure,PNW Regional,"Coordinates collaboration across organizations working on earthquake and resilience issues.

Review flag: yes

Review note: Program/network treatment should be confirmed.",,https://iprem.ca/contact-us/,"[""PNW Regional""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://iprem.ca/,yes,Program/network treatment should be confirmed.
International Association of Earthquake Engineering,IAEE,"[""Nonprofit Community""]",Nonprofit Community,International,"Supports community resilience through coordination, advocacy, technical guidance, or direct services.",,,"[""International""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Coordination"", ""Knowledge Provider""]",Coordination,"[""Unknown""]",Unknown,https://www.iaee.or.jp/,,
Jamestown S’Klallam Tribe,Jamestown,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,https://jamestowntribe.org/contact/,"[""Washington""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://jamestowntribe.org/,,
Karuk Tribe,Karuk,"[""Tribal Sovereign""]",Tribal Sovereign,California,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,https://karuk.us/contact/,"[""California""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://karuk.us/,,
Kinder Morgan Pipeline,KMP,"[""Private Sector""]",Private Sector,U.S. National,"Provides private-sector infrastructure, technical services, or products relevant to hazard resilience and recovery.",,https://www.kindermorgan.com/contact/,"[""U.S. National""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Unknown""]",Unknown,https://www.kindermorgan.com/,,
King County Department of Emergency Management,KingCoEM,"[""Government""]",Government,Washington,"Leads public policy and coordination functions related to earthquake preparedness, response, or recovery.",,,"[""Washington""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination"", ""Policy Maker Regulator""]",Coordination,"[""Unknown""]",Unknown,https://kingcounty.gov/depts/emergency-management.aspx,,
"Kyoto University, Japan - Disaster Prevention Research Institute",KyotoU,"[""Academic""]",Academic,International,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.",,,"[""International""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Emergency Management""]",Emergency Management,"[""Knowledge Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,https://www.dpri.kyoto-u.ac.jp/en/,,
Lane County Emergency Management,LaneCoEM,"[""Government""]",Government,Oregon,"Coordinates county-level emergency preparedness and response.

Review flag: yes

Review note: Reclassified from nonprofit to government.",,,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://www.lanecounty.org/government/county_departments/public_safety/emergency_management,yes,Reclassified from nonprofit to government.
Lewis & Clark College,L&Ccollege,"[""Academic""]",Academic,U.S. National,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.",,https://www.lclark.edu/contact/,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,https://www.lclark.edu/,,
Link Oregon,LinkOregon,"[""Nonprofit Community""]",Nonprofit Community,Oregon,"Supports community resilience through coordination, advocacy, technical guidance, or direct services.",,https://linkoregon.org/contact/,"[""Oregon""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://linkoregon.org/,,
Linnton Neighborhood Association,LinntonNA,"[""Nonprofit Community""]",Nonprofit Community,Oregon,"Supports community resilience through coordination, advocacy, technical guidance, or direct services.",,,"[""Oregon""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Community Resilience""]",Community Resilience,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://linntonna.org/,,
Lower Elwha Klallam Tribe,LowerElwha,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,https://www.elwha.org/contact/,"[""Washington""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://www.elwha.org/,,
Lummi Nation,Lummi,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,https://www.lummi-nsn.gov/contact/,"[""Washington""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://www.lummi-nsn.gov/,,
Makah Tribe,Makah,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,https://makah.com/contact/,"[""Washington""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://makah.com/,,
Metro Vancouver,MetroVan,"[""Quasi Governmental""]",Quasi Governmental,British Columbia,"Provides regional utility and planning services that support resilience in the Vancouver metropolitan area.

Review flag: yes

Review note: Regional district with mixed governance and service roles; classification may be revisited.",,https://metrovancouver.org/contact,"[""British Columbia""]","[""Organization""]",Organization,"[""State""]",State,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator"", ""Coordination""]",Infrastructure Operator,"[""Water Systems""]",Water Systems,https://metrovancouver.org/,yes,Regional district with mixed governance and service roles; classification may be revisited.
Moonshot Missions,Moonshot,"[""Private Sector""]",Private Sector,U.S. National,"Provides private-sector infrastructure, technical services, or products relevant to hazard resilience and recovery.

Review flag: yes

Review note: Organization type and role need confirmation.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,,yes,Organization type and role need confirmation.
Mt. Hood Community College,MHCC,"[""Academic""]",Academic,U.S. National,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.",,https://www.mhcc.edu/contact/,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,https://www.mhcc.edu/,,
Muckleshoot Indian Tribe,Muckleshoot,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,https://muckleshoot.nsn.us/contact/,"[""Washington""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://muckleshoot.nsn.us/,,
Multnomah County Office of Emergency Management,MultnomahEM,"[""Government""]",Government,Oregon,Participates in the earthquake hazard and resilience ecosystem through specialized expertise or services.,,,"[""Oregon""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://www.multco.us/em,,
NASA - Alaska Satellite Facility,NASA_ASF,"[""Government""]",Government,U.S. Federal,Provides satellite data and analysis supporting hazard monitoring and response.,,https://asf.alaska.edu/contact/,"[""U.S. Federal""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider""]",Data Tools Provider,"[""Unknown""]",Unknown,https://asf.alaska.edu/,,
NASA - Applied Sciences Program,NASA_App,"[""Coordination Structure""]",Coordination Structure,U.S. National,Convenes stakeholders around a focused program area related to earthquake and resilience work.,,https://appliedsciences.nasa.gov/contact,"[""U.S. National""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Coordination"", ""Knowledge Provider""]",Coordination,"[""Unknown""]",Unknown,https://appliedsciences.nasa.gov/,,
NASA - Jet Propulsion Laboratory,NASA_JPL,"[""Government""]",Government,U.S. Federal,"Provides advanced research, modeling, and data tools for Earth systems and hazards.",,https://www.jpl.nasa.gov/contact/,"[""U.S. Federal""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider"", ""Knowledge Provider""]",Data Tools Provider,"[""Unknown""]",Unknown,https://www.jpl.nasa.gov/,,
National Academy of Sciences,NAS,"[""Nonprofit Community""]",Nonprofit Community,U.S. National,"Supports community resilience through coordination, advocacy, technical guidance, or direct services.",,https://www.nationalacademies.org/contact,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,https://www.nationalacademies.org/,,
"National Association of Geosciences Teachers, PNW Section",NAGT,"[""Nonprofit Community""]",Nonprofit Community,U.S. National,"Supports community resilience through coordination, advocacy, technical guidance, or direct services.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Coordination"", ""Knowledge Provider""]",Coordination,"[""Unknown""]",Unknown,https://nagt.org/nagt/sections/pnw/index.html,,
National Earthquake Hazards Reduction Program,NEHRP,"[""Coordination Structure""]",Coordination Structure,U.S. National,Convenes stakeholders around a focused program area related to earthquake and resilience work.,,,"[""U.S. National""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://www.nehrp.gov/,,
National Emergency Management Association,NEMA,"[""Nonprofit Community""]",Nonprofit Community,U.S. National,"Supports community resilience through coordination, advocacy, technical guidance, or direct services.

Review flag: yes

Review note: Membership association classified as nonprofit_community; confirm desired treatment vs coordination structure.",,https://www.nemaweb.org/index.php/about/contact,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://www.nemaweb.org/,yes,Membership association classified as nonprofit_community; confirm desired treatment vs coordination structure.
National Interagency Fire Center,NIFC,"[""Government""]",Government,U.S. Federal,Coordinates interagency wildfire and incident response resources that support disaster operations.,,https://www.nifc.gov/about/contact-us,"[""U.S. Federal""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Safety Security""]",Safety Security,https://www.nifc.gov/,,
National Park Service,NPS,"[""Government""]",Government,U.S. Federal,Participates in the earthquake hazard and resilience ecosystem through specialized expertise or services.,,https://www.nps.gov/aboutus/contactus.htm,"[""U.S. Federal""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://www.nps.gov/,,
National Science Foundation,NSF,"[""Government""]",Government,U.S. Federal,"Funds and supports scientific research and infrastructure related to hazards and resilience.

Review flag: yes

Review note: Reclassified from nonprofit to federal government agency.",,https://www.nsf.gov/contact/,"[""U.S. Federal""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Earthquake Science""]",Earthquake Science,"[""Funding Provider"", ""Knowledge Provider""]",Funding Provider,"[""Unknown""]",Unknown,https://www.nsf.gov/,yes,Reclassified from nonprofit to federal government agency.
National Tsunami Hazard Mitigation Program,NTHMP,"[""Coordination Structure""]",Coordination Structure,U.S. National,Convenes stakeholders around a focused program area related to earthquake and resilience work.,,,"[""U.S. National""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://nws.weather.gov/nthmp/,,
Natural Hazards Center,NHC,"[""Academic""]",Academic,U.S. National,"Contributes research, teaching, or technical expertise relevant to earthquake hazards and resilience.",,https://hazards.colorado.edu/contact,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,https://hazards.colorado.edu/,,
Natural Hazards Engineering Research Infrastructure and Planning,NHERI,"[""Coordination Structure""]",Coordination Structure,U.S. National,Convenes stakeholders around a focused program area related to earthquake and resilience work.,,https://www.designsafe-ci.org/contact/,"[""U.S. National""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Earthquake Science""]",Earthquake Science,"[""Coordination"", ""Knowledge Provider""]",Coordination,"[""Unknown""]",Unknown,https://www.designsafe-ci.org/,,
Natural Resources Canada - Geological Survey of Canada,GSC,"[""Government""]",Government,Canada,Participates in the earthquake hazard and resilience ecosystem through specialized expertise or services.,,,"[""Canada""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider"", ""Knowledge Provider""]",Data Tools Provider,"[""Unknown""]",Unknown,https://www.nrcan.gc.ca/science-and-data/science-and-research/earth-sciences/geological-survey-canada,,
Nez Perce Tribe,NezPerce,"[""Tribal Sovereign""]",Tribal Sovereign,U.S. National,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,https://nezperce.org/contact/,"[""U.S. National""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://nezperce.org/,,
Nisqually Indian Tribe,Nisqually,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,https://nisqually-nsn.gov/contact/,"[""Washington""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://nisqually-nsn.gov/,,
NOAA - National Geodetic Survey,NOAA_NGS,"[""Government""]",Government,U.S. Federal,"Provides geodetic data and tools supporting hazard monitoring and geospatial accuracy.

Review flag: yes

Review note: Reclassified from nonprofit to federal agency.",,https://www.ngs.noaa.gov/contact.shtml,"[""U.S. Federal""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider"", ""Knowledge Provider""]",Data Tools Provider,"[""Unknown""]",Unknown,https://www.ngs.noaa.gov/,yes,Reclassified from nonprofit to federal agency.
NOAA - National Weather Service,NOAA_NWS,"[""Government""]",Government,U.S. Federal,Participates in the earthquake hazard and resilience ecosystem through specialized expertise or services.,,https://www.weather.gov/contact,"[""U.S. Federal""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider""]",Data Tools Provider,"[""Unknown""]",Unknown,https://www.weather.gov/,,
NOAA - Pacific Marine Environmental Laboratory,NOAA_PMEL,"[""Government""]",Government,U.S. Federal,"Conducts ocean and hazard research including tsunami detection and monitoring.

Review flag: yes

Review note: Reclassified from nonprofit to federal agency.",,https://www.pmel.noaa.gov/contact,"[""U.S. Federal""]","[""Organization""]",Organization,"[""Federal""]",Federal,"[""Earthquake Science""]",Earthquake Science,"[""Data Tools Provider"", ""Knowledge Provider""]",Data Tools Provider,"[""Unknown""]",Unknown,https://www.pmel.noaa.gov/,yes,Reclassified from nonprofit to federal agency.
Nooksack Indian Tribe,Nooksack,"[""Tribal Sovereign""]",Tribal Sovereign,Washington,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,https://nooksacktribe.org/contact/,"[""Washington""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,https://nooksacktribe.org/,,
Northern California Media Outlets,NorCalMedia,"[""Media""]",Media,California,"Provides public information and communications that can support hazard awareness and emergency messaging.

Review flag: yes

Review note: Aggregate category rather than a specific organization.",,,"[""California""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Messaging Alerts Provider""]",Messaging Alerts Provider,"[""Communications""]",Communications,,yes,Aggregate category rather than a specific organization.
